Mean Variance AutoCorreDistance
0.744933 0.187918 0.679322
1.198112 0.119677 0.566352
0.892510 0.139687 0.566352
1.279992 0.100697 0.566352
1.057819 0.075019 0.566352
0.994037 0.516580 0.566352
1.106989 0.076114 0.566352
1.081464 0.250090 0.566352
1.103521 0.145786 1.276068
0.986597 0.110359 0.760821
1.083033 0.167904 0.760821
0.951728 0.177417 2.239053
1.055571 0.114908 2.239053
0.901143 0.086089 2.239053
1.041013 0.102663 2.239053
0.897153 0.060617 2.239053
1.061497 0.099813 2.239053
0.906425 0.088325 2.239053
1.097435 0.082944 2.239053
0.938140 0.123781 2.239053
1.154655 0.185952 0.579724
0.979725 0.123196 0.579724
1.209603 0.393755 2.525218
0.954905 0.110231 2.525218
1.234056 0.087811 2.525218
0.884811 0.097333 2.525218
1.223965 0.093301 2.525218
1.050119 0.182943 2.525218
1.255907 0.104912 2.525218
0.987678 0.136575 0.508427
1.188895 0.209595 0.508427
0.982416 0.218370 0.508427
1.166091 0.149819 0.508427
0.964057 0.148915 0.508427
1.084783 0.105972 0.508427
0.940968 0.112262 0.508427
0.987616 0.126543 0.508427
0.844002 0.180868 0.508427
1.033411 0.244355 0.508427
0.597953 0.130199 0.371304
1.078254 0.241271 0.332657
0.954677 0.175969 0.332657
0.939974 0.100441 1.477617
1.041039 0.225590 0.924393
1.168080 0.097732 1.055019
1.068891 0.047657 1.055019
1.141940 0.105948 1.055019
1.072783 0.070710 0.681748
1.010183 0.091847 3.515759
1.054453 0.062419 3.515759
0.936370 0.135632 3.515759
1.038443 0.234817 3.515759
0.821493 0.256947 3.515759
1.071456 0.120934 3.010684
0.880534 0.186894 3.010684
1.104290 0.106620 3.010684
0.905791 0.092077 3.010684
1.122291 0.070677 3.010684
0.952696 0.123716 3.010684
1.191699 0.083104 3.010684
0.977743 0.114338 0.708613
1.222481 0.179977 0.708613
1.041951 0.131454 0.708613
1.252704 0.202165 1.812723
1.124007 0.191319 0.279368
1.279737 0.152654 0.279368
1.041121 0.063291 0.279368
1.170119 0.165113 0.279368
1.007391 0.067649 0.279368
1.144614 0.263487 0.279368
0.952337 0.110525 0.444692
1.121698 0.143088 0.444692
0.942102 0.135663 0.444692
1.032852 0.065367 0.444692
0.938584 0.131093 0.444692
1.225695 0.182008 0.444692
0.710999 0.202335 0.444692
1.069781 0.113587 0.920206
0.839406 0.106235 0.920206
0.989904 0.099708 1.725723
0.992549 0.078051 1.725723
0.975998 0.054578 1.725723
1.040366 0.148779 1.725723
1.091746 0.060950 1.725723
1.051385 0.194469 0.624855
1.022532 0.140005 0.108575
1.089401 0.127729 0.108575
0.989627 0.095549 0.185261
1.081351 0.103118 0.185261
0.974409 0.068469 0.185261
1.077181 0.070949 0.185261
0.982619 0.094811 0.185261
1.098029 0.185616 0.185261
0.936152 0.168806 0.185261
1.140747 0.178469 2.693493
0.898643 0.136182 1.641379
1.157094 0.248600 1.641379
0.941018 0.109679 1.641379
1.194522 0.055898 0.176399
1.048856 0.101365 0.176399
1.236756 0.092715 0.176399
1.235653 0.159904 0.176399
1.280092 0.205437 0.176399
1.097207 0.221863 0.164181
1.280611 0.147135 0.443537
1.022225 0.255594 0.443537
1.240126 0.148484 0.443537
0.991683 0.151134 0.443537
1.158157 0.108525 0.443537
0.972683 0.095980 0.443537
1.096620 0.072891 0.443537
0.953571 0.102471 0.443537
1.092792 0.078178 0.443537
0.882104 0.205807 0.443537
1.052997 0.097609 0.443537
0.787903 0.211510 0.443537
0.931934 0.206620 0.443537
0.906900 0.187903 0.443537
1.224588 0.079191 1.645858
1.015542 0.049808 1.645858
1.090039 0.092509 1.645858
1.043822 0.063313 1.645858
1.007720 0.110599 1.645858
1.054131 0.119022 1.645858
0.982074 0.122720 1.645858
1.054628 0.118157 1.645858
0.944048 0.216745 1.645858
1.044061 0.106449 2.587365
0.911204 0.296942 2.587365
1.068658 0.101204 0.580633
0.965063 0.079640 0.580633
1.100481 0.084763 0.580633
0.983390 0.099559 0.842491
1.129429 0.089504 0.842491
0.991823 0.086317 0.925948
1.162831 0.182781 0.925948
0.997617 0.170173 1.320135
1.259287 0.246491 1.320135
1.212472 0.205285 10.741657
1.503515 0.224734 7.727347
1.422681 0.217750 7.727347
1.437896 0.168090 7.727347
0.998012 0.089913 7.727347
1.259575 0.412016 7.727347
0.885926 0.140338 0.146401
1.181334 0.089885 7.164778
0.920452 0.203577 7.164778
1.175219 0.237227 7.164778
0.765692 0.190671 2.517011
1.326525 0.126931 1.174748
0.846482 0.219053 1.174748
0.894590 0.116179 0.462312
0.787957 0.145404 0.462312
1.050186 0.168350 0.462312
0.794851 0.148747 0.462312
1.022728 0.121275 0.168409
0.994317 0.177881 0.232572
1.092105 0.136196 0.232572
1.053485 0.276480 2.421278
0.748524 0.085360 2.421278
1.038804 0.107062 2.421278
1.121321 0.150847 1.325016
1.058377 0.083464 6.445008
0.954946 0.089641 8.083917
1.062846 0.167547 8.083917
0.866242 0.136527 8.083917
1.064507 0.131907 8.083917
0.864755 0.258147 8.083917
1.116485 0.204254 8.083917
0.834066 0.223665 8.083917
1.177019 0.205634 8.083917
0.870156 0.157737 8.083917
1.239560 0.077970 8.083917
0.969535 0.156894 8.083917
1.338123 0.113254 8.083917
1.010260 0.192086 8.083917
1.450076 0.122440 8.083917
1.068751 0.433853 2.007758
1.438996 0.217375 2.007758
0.854966 0.088137 2.007758
1.199463 0.105881 1.482251
0.998262 0.124617 0.873406
1.186862 0.111013 1.276597
0.971280 0.072940 1.276597
1.116867 0.080101 1.276597
0.952263 0.104072 1.276597
1.085717 0.092193 1.276597
0.900089 0.096303 1.874006
0.997014 0.153715 1.874006
0.738289 0.164893 1.874006
0.929237 0.105598 1.874006
0.725929 0.175995 0.838025
1.255604 0.380286 0.824424
0.790689 0.098863 0.824424
1.054941 0.125446 0.944123
1.002400 0.068650 0.944123
1.154725 0.097075 0.944123
1.045411 0.087676 0.944123
1.155876 0.082391 1.173702
1.052868 0.146919 1.173702
1.011895 0.177282 1.173702
1.059354 0.118583 0.908696
0.980108 0.152658 0.498015
1.069353 0.112515 0.498015
0.976867 0.064706 0.498015
1.079901 0.097544 0.498015
0.979266 0.092726 0.498015
1.102160 0.107852 0.516351
0.983872 0.124181 0.516351
1.142121 0.191732 0.516351
0.983262 0.089335 1.472970
1.157804 0.285626 1.472970
0.981191 0.114140 1.472970
1.228616 0.109112 3.394021
1.045367 0.080608 3.394021
1.254499 0.103232 0.298021
1.015924 0.192481 0.298021
1.302783 0.243131 0.298021
1.036582 0.129866 0.482154
1.221609 0.208826 0.482154
0.990330 0.194216 0.482154
